json_file,week_section_number,word_count
s1-2022_43670121_FinalReport_COMP8852-pages.json,1,130
s1-2022_43670121_FinalReport_COMP8852-pages.json,2,291
s1-2022_43670121_FinalReport_COMP8852-pages.json,3,277
s1-2022_43670121_FinalReport_COMP8852-pages.json,4,287
s1-2022_43670121_FinalReport_COMP8852-pages.json,5,262
s1-2022_43670121_FinalReport_COMP8852-pages.json,6,266
s1-2022_43670121_FinalReport_COMP8852-pages.json,7,223
s1-2022_43670121_FinalReport_COMP8852-pages.json,8,224
s1-2022_43670121_FinalReport_COMP8852-pages.json,9,283
s1-2022_43670121_FinalReport_COMP8852-pages.json,10,223
s1-2022_43670121_FinalReport_COMP8852-pages.json,11,224
s1-2022_43670121_FinalReport_COMP8852-pages.json,12,283
s1-2022_43670121_FinalReport_COMP8852-pages.json,13,222
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,1,333
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,2,456
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,3,445
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,4,316
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,5,338
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,6,181
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,7,232
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,8,310
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,9,370
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,10,334
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,11,389
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,12,389
s1-2022_46116761_Final Internship Report_SupriyaBasnet-pages.json,13,298
s1-2022_47125330_Final_Report-pages.json,1,165
s1-2022_47125330_Final_Report-pages.json,2,234
s1-2022_47125330_Final_Report-pages.json,3,303
s1-2022_47125330_Final_Report-pages.json,4,209
s1-2022_47125330_Final_Report-pages.json,5,243
s1-2022_47125330_Final_Report-pages.json,6,259
s1-2022_47125330_Final_Report-pages.json,7,183
s1-2022_47125330_Final_Report-pages.json,8,133
s1-2022_47125330_Final_Report-pages.json,9,173
s1-2022_47125330_Final_Report-pages.json,10,223
s1-2022_47125330_Final_Report-pages.json,11,194
